procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1769636 224512 2994216    0    0    31    45  148  421 16  6 77  1  0
 0  0      0 1748696 224528 2994304    0    0     0    15 2164 2970  4  2 94  0  0
 0  0      0 1748444 224536 2994308    0    0     0     5 2042 2742  3  2 95  0  0
 1  0      0 1749452 224552 2994308    0    0     0    23 2017 2720  3  2 95  0  0
 2  0      0 1749200 224560 2994308    0    0     0    80 2002 2697  3  2 95  0  0
 0  0      0 1748696 224576 2994300    0    0     0     9 2035 2732  3  2 95  0  0
 0  0      0 1748948 224584 2994312    0    0     0     8 2045 2731  3  2 95  0  0
 0  0      0 1748948 224608 2994352    0    0     0    24 2022 2718  3  2 95  0  0
 0  0      0 1748696 224632 2994312    0    0     0    46 2041 2735  3  2 95  0  0
 0  0      0 1718960 224656 2994336    0    0     0    65 2090 2797  3  2 94  0  0
 0  0      0 1747908 224672 2994336    0    0     0    50 2012 2709  3  2 95  0  0
 0  0      0 1746176 224688 2994524    0    0     0    16 2050 2758  3  2 95  0  0
wfvjafnvadfñsvjnadsfjñvnadfvjnafdvñafdvafvnanfvnadfvadfbvfbnastre
